Group,Subgroup,Language,Number of speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
ALL OTHER LANGUAGES,Other Native North American languages,Ute,"1,895",287,145,58
ALL OTHER LANGUAGES,Other Native North American languages,Shoshoni,"2,000",257,180,66
ALL OTHER LANGUAGES,Other Native North American languages,Hopi,"6,075",767,"1,525",367
ALL OTHER LANGUAGES,Other Native North American languages,Cahuilla,60,36,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Cupeno,20,23,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Luiseno,75,61,15,21
ALL OTHER LANGUAGES,Other Native North American languages,Serrano,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Pima,"6,990",687,720,193
ALL OTHER LANGUAGES,Other Native North American languages,Yaqui,640,252,55,51
ALL OTHER LANGUAGES,Other Native North American languages,Picuris,155,133,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,Tiwa,"2,180",344,100,55
ALL OTHER LANGUAGES,Other Native North American languages,Sandia,(D),(D),(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Tewa,"4,620",480,360,135
ALL OTHER LANGUAGES,Other Native North American languages,Towa,"1,925",350,535,236
ALL OTHER LANGUAGES,Other Native North American languages,Zuni,"9,615","1,127","1,240",305
ALL OTHER LANGUAGES,Other Native North American languages,Chinook Jargon,45,25,(D),(D)
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,"7,110",683,"1,175",271
ALL OTHER LANGUAGES,Other Native North American languages,Jicarilla,510,178,30,20
ALL OTHER LANGUAGES,Other Native North American languages,Chiricahua,155,56,20,20
ALL OTHER LANGUAGES,Other Native North American languages,San Carlos,360,159,30,26
ALL OTHER LANGUAGES,Other Native North American languages,Kalispel,30,28,(B),--
ALL OTHER LANGUAGES,Other Native North American languages,Spokane,(D),(D),(B),--
ALL OTHER LANGUAGES,Hungarian,Hungarian,"86,406","2,446","25,983","1,374"
ALL OTHER LANGUAGES,Arabic,Arabic,"924,374","13,743","341,425","5,888"
ALL OTHER LANGUAGES,Hebrew,Hebrew,"212,747","4,707","34,912","1,591"
ALL OTHER LANGUAGES,African languages,Amharic,"195,260","6,368","81,385","3,479"
ALL OTHER LANGUAGES,African languages,Berber,"2,940",756,"1,630",472
ALL OTHER LANGUAGES,African languages,Chadic,"8,565",991,"2,275",426
ALL OTHER LANGUAGES,African languages,Cushite,"122,445","4,437","59,495","2,817"
ALL OTHER LANGUAGES,African languages,Sudanic,"8,510","1,317","3,935",710
ALL OTHER LANGUAGES,African languages,Nilotic,"6,890","1,184","2,235",490
ALL OTHER LANGUAGES,African languages,Nilo-Hamitic,"1,275",644,575,327
ALL OTHER LANGUAGES,African languages,Nubian,305,234,185,175
ALL OTHER LANGUAGES,African languages,Saharan,80,95,(D),(D)
ALL OTHER LANGUAGES,African languages,Nilo-Saharan,270,183,155,127
ALL OTHER LANGUAGES,African languages,Khoisan,55,89,20,32
ALL OTHER LANGUAGES,African languages,Swahili,"88,685","3,414","22,055","1,913"
ALL OTHER LANGUAGES,African languages,Bantu,"56,685","2,641","16,635","1,574"
ALL OTHER LANGUAGES,African languages,Mande,"29,835","2,461","10,370","1,171"
ALL OTHER LANGUAGES,African languages,Fulani,"30,475","2,022","11,745","1,193"
ALL OTHER LANGUAGES,African languages,Gur,"1,310",529,405,272
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba","322,255","7,681","64,690","2,487"
ALL OTHER LANGUAGES,African languages,Efik,"5,620",775,905,305
ALL OTHER LANGUAGES,African languages,Mbum (and related),715,353,370,269
ALL OTHER LANGUAGES,African languages,African,"12,320","1,508","5,000",997
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,"25,805","1,198","4,350",447
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,"6,035",775,"1,335",274
ALL OTHER LANGUAGES,Other and unspecified languages,Lapp,(D),(D),(B),--
ALL OTHER LANGUAGES,Other and unspecified languages,Other Uralic languages,20,22,(B),--
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,"8,980","1,034","4,280",674
ALL OTHER LANGUAGES,Other and unspecified languages,Basque,"1,860",451,635,160
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,"74,725","3,878","33,600","2,206"
ALL OTHER LANGUAGES,Other and unspecified languages,Aztecan,720,267,400,193
ALL OTHER LANGUAGES,Other and unspecified languages,Sonoran,60,68,60,68
ALL OTHER LANGUAGES,Other and unspecified languages,Misumalpan,95,78,35,37
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,"7,650","1,273","5,730",941
ALL OTHER LANGUAGES,Other and unspecified languages,Tarascan,60,54,40,40
ALL OTHER LANGUAGES,Other and unspecified languages,Mapuche,210,267,195,246
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,"5,100","1,161","4,425",976
ALL OTHER LANGUAGES,Other and unspecified languages,Quechua,"1,300",465,"1,000",438
ALL OTHER LANGUAGES,Other and unspecified languages,Arawakian,"3,150",765,925,253
ALL OTHER LANGUAGES,Other and unspecified languages,Chibchan,"1,095",515,865,413
ALL OTHER LANGUAGES,Other and unspecified languages,Tupi-Guarani,245,102,155,67
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,"6,760",571,595,163
